loc_00015834: op02                          (0x0000)
loc_00016059: triggerLoop                   ()
loc_0001605b: setScrollY?                   (0x0000 0x0000 [ ])
loc_00016061: loadFgQuadrant                (0x09 0x02)
loc_00016065: playSe??                      (0x02)
loc_00016068: setLoopStart                  (0x04)
loc_0001606b: renderObjsHigh?               (< 0x11 > )
loc_0001606e: addWord                       (0x00 0x0002)
loc_00016073: renderSpriteOverride?         (0x0c 0x01 *0x00 0x0020)
loc_0001607b: draw                          (0x02)
loc_0001607e: triggerLoop                   ()
loc_00016080: setScrollY?                   (0x0140 0x0000 [ ])
loc_00016086: loadFgQuadrant                (0x09 0x01)
loc_0001608a: playSe??                      (0x02)
loc_0001608d: setLoopStart                  (0x04)
loc_00016090: renderObjsHigh?               (< 0x11 > )
loc_00016093: addWord                       (0x00 0x0002)
loc_00016098: renderSpriteOverride?         (0x0d 0x01 *0x00 0x0020)
loc_000160a0: draw                          (0x02)
loc_000160a3: triggerLoop                   ()
loc_000160a5: setLoopStart                  (0x01)
loc_000160a8: waitForPcm?                   ()
loc_000160aa: playPcm?                      (0x04)
loc_000160ad: setLoopStart                  (0x01)
loc_000160b0: setScrollY?                   (0x0000 0x0000 [ ])
loc_000160b6: loadFgQuadrant                (0x09 0x02)
loc_000160ba: playSe??                      (0x02)
loc_000160bd: setLoopStart                  (0x04)
loc_000160c0: renderObjsHigh?               (< 0x11 > )
loc_000160c3: addWord                       (0x00 0x0002)
loc_000160c8: renderSpriteOverride?         (0x0e 0x01 *0x00 0x0020)
loc_000160d0: draw                          (0x02)
loc_000160d3: triggerLoop                   ()
loc_000160d5: setScrollY?                   (0x0140 0x0000 [ ])
loc_000160db: loadFgQuadrant                (0x09 0x01)
loc_000160df: playSe??                      (0x02)
loc_000160e2: setLoopStart                  (0x04)
loc_000160e5: renderObjsHigh?               (< 0x11 > )
loc_000160e8: addWord                       (0x00 0x0002)
loc_000160ed: renderSpriteOverride?         (0x0f 0x01 *0x00 0x0020)
loc_000160f5: draw                          (0x02)
loc_000160f8: triggerLoop                   ()
loc_000160fa: setScrollY?                   (0x0000 0x0000 [ ])
loc_00016100: loadFgQuadrant                (0x09 0x02)
loc_00016104: playSe??                      (0x02)
loc_00016107: setLoopStart                  (0x04)
loc_0001610a: renderObjsHigh?               (< 0x11 > )
loc_0001610d: addWord                       (0x00 0x0002)
loc_00016112: renderSpriteOverride?         (0x10 0x01 *0x00 0x0020)
loc_0001611a: draw                          (0x02)
loc_0001611d: triggerLoop                   ()
loc_0001611f: setScrollY?                   (0x0140 0x0000 [ ])
loc_00016125: loadFgQuadrant                (0x09 0x01)
loc_00016129: playSe??                      (0x02)
loc_0001612c: setLoopStart                  (0x04)
loc_0001612f: renderObjsHigh?               (< 0x11 > )
loc_00016132: addWord                       (0x00 0x0002)
loc_00016137: renderSpriteOverride?         (0x09 0x01 *0x00 0x0020)
loc_0001613f: draw                          (0x02)
loc_00016142: triggerLoop                   ()
loc_00016144: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001614a: loadFgQuadrant                (0x09 0x02)
loc_0001614e: playSe??                      (0x02)
loc_00016151: setLoopStart                  (0x04)
loc_00016154: renderObjsHigh?               (< 0x11 > )
loc_00016157: addWord                       (0x00 0x0002)
loc_0001615c: renderSpriteOverride?         (0x0a 0x01 *0x00 0x0020)
loc_00016164: draw                          (0x02)
loc_00016167: triggerLoop                   ()
loc_00016169: setScrollY?                   (0x0140 0x0000 [ ])
loc_0001616f: loadFgQuadrant                (0x09 0x01)
loc_00016173: playSe??                      (0x02)
loc_00016176: setLoopStart                  (0x04)
loc_00016179: renderObjsHigh?               (< 0x11 > )
loc_0001617c: addWord                       (0x00 0x0002)
loc_00016181: renderSpriteOverride?         (0x0b 0x01 *0x00 0x0020)
loc_00016189: draw                          (0x02)
loc_0001618c: triggerLoop                   ()
loc_0001618e: setScrollY?                   (0x0000 0x0000 [ ])
loc_00016194: loadFgQuadrant                (0x09 0x02)
loc_00016198: playSe??                      (0x02)
loc_0001619b: setLoopStart                  (0x04)
loc_0001619e: renderObjsHigh?               (< 0x11 > )
loc_000161a1: addWord                       (0x00 0x0002)
loc_000161a6: renderSpriteOverride?         (0x0c 0x01 *0x00 0x0020)
loc_000161ae: draw                          (0x02)
loc_000161b1: triggerLoop                   ()
loc_000161b3: setScrollY?                   (0x0140 0x0000 [ ])
loc_000161b9: loadFgQuadrant                (0x09 0x01)
loc_000161bd: playSe??                      (0x02)
loc_000161c0: setLoopStart                  (0x04)
loc_000161c3: renderObjsHigh?               (< 0x11 > )
loc_000161c6: addWord                       (0x00 0x0002)
loc_000161cb: renderSpriteOverride?         (0x0d 0x01 *0x00 0x0020)
loc_000161d3: draw                          (0x02)
loc_000161d6: triggerLoop                   ()
loc_000161d8: triggerLoop                   ()
loc_000161da: setScrollY?                   (0x0000 0x0000 [ ])
loc_000161e0: loadFgQuadrant                (0x09 0x02)
loc_000161e4: playSe??                      (0x02)
loc_000161e7: setLoopStart                  (0x04)
loc_000161ea: renderObjsHigh?               (< 0x11 > )
loc_000161ed: addWord                       (0x00 0x0002)
loc_000161f2: renderSpriteOverride?         (0x0e 0x01 *0x00 0x0020)
loc_000161fa: draw                          (0x02)
loc_000161fd: triggerLoop                   ()
loc_000161ff: setScrollY?                   (0x0140 0x0000 [ ])
loc_00016205: loadFgQuadrant                (0x09 0x01)
loc_00016209: playSe??                      (0x02)
loc_0001620c: setLoopStart                  (0x04)
loc_0001620f: renderObjsHigh?               (< 0x11 > )
loc_00016212: addWord                       (0x00 0x0002)
loc_00016217: renderSpriteOverride?         (0x0f 0x01 *0x00 0x0020)
loc_0001621f: draw                          (0x02)
loc_00016222: triggerLoop                   ()
loc_00016224: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001622a: loadFgQuadrant                (0x09 0x02)
loc_0001622e: playSe??                      (0x02)
loc_00016231: setLoopStart                  (0x04)
loc_00016234: renderObjsHigh?               (< 0x11 > )
loc_00016237: addWord                       (0x00 0x0002)
loc_0001623c: renderSpriteOverride?         (0x10 0x01 *0x00 0x0020)
loc_00016244: draw                          (0x02)
loc_00016247: triggerLoop                   ()
loc_00016249: setScrollY?                   (0x0140 0x0000 [ ])
loc_0001624f: loadFgQuadrant                (0x09 0x01)
loc_00016253: playSe??                      (0x02)
loc_00016256: setLoopStart                  (0x04)
loc_00016259: renderObjsHigh?               (< 0x11 > )
loc_0001625c: addWord                       (0x00 0x0002)
loc_00016261: renderSpriteOverride?         (0x09 0x01 *0x00 0x0020)
loc_00016269: draw                          (0x02)
loc_0001626c: triggerLoop                   ()
loc_0001626e: setScrollY?                   (0x0000 0x0000 [ ])
loc_00016274: loadFgQuadrant                (0x09 0x02)
loc_00016278: playSe??                      (0x02)
loc_0001627b: setLoopStart                  (0x04)
loc_0001627e: renderObjsHigh?               (< 0x12 > )
loc_00016281: addWord                       (0x00 0x0002)
loc_00016286: renderSpriteOverride?         (0x0a 0x01 *0x00 0x0020)
loc_0001628e: draw                          (0x02)
loc_00016291: triggerLoop                   ()
loc_00016293: setScrollY?                   (0x0140 0x0000 [ ])
loc_00016299: loadFgQuadrant                (0x09 0x01)
loc_0001629d: playSe??                      (0x02)
loc_000162a0: setLoopStart                  (0x04)
loc_000162a3: renderObjsHigh?               (< 0x11 > )
loc_000162a6: addWord                       (0x00 0x0002)
loc_000162ab: renderSpriteOverride?         (0x0b 0x01 *0x00 0x0020)
loc_000162b3: draw                          (0x02)
loc_000162b6: triggerLoop                   ()
loc_000162b8: setScrollY?                   (0x0000 0x0000 [ ])
loc_000162be: loadFgQuadrant                (0x09 0x02)
loc_000162c2: playSe??                      (0x02)
loc_000162c5: setLoopStart                  (0x04)
loc_000162c8: renderObjsHigh?               (< 0x12 > )
loc_000162cb: addWord                       (0x00 0x0002)
loc_000162d0: renderSpriteOverride?         (0x0c 0x01 *0x00 0x0020)
loc_000162d8: draw                          (0x02)
loc_000162db: triggerLoop                   ()
loc_000162dd: setScrollY?                   (0x0140 0x0000 [ ])
loc_000162e3: loadFgQuadrant                (0x09 0x01)
loc_000162e7: playSe??                      (0x02)
loc_000162ea: setLoopStart                  (0x04)
loc_000162ed: renderObjsHigh?               (< 0x11 > )
loc_000162f0: addWord                       (0x00 0x0002)
loc_000162f5: renderSpriteOverride?         (0x0d 0x01 *0x00 0x0020)
loc_000162fd: draw                          (0x02)
loc_00016300: triggerLoop                   ()
loc_00016302: setScrollY?                   (0x0000 0x0000 [ ])
loc_00016308: loadFgQuadrant                (0x09 0x01)
loc_0001630c: renderObjsHigh?               (< 0x12 > )
loc_0001630f: draw                          (0x08)
loc_00016312: setScrollY?                   (0x0140 0x0000 [ ])
loc_00016318: loadFgQuadrant                (0x09 0x02)
loc_0001631c: renderObjsHigh?               (< 0x12 > )
loc_0001631f: draw                          (0x08)
loc_00016322: setLoopStart                  (0x03)
loc_00016325: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001632b: loadFgQuadrant                (0x09 0x01)
loc_0001632f: renderObjsHigh?               (< 0x11 > )
loc_00016332: draw                          (0x08)
loc_00016335: setScrollY?                   (0x0140 0x0000 [ ])
loc_0001633b: loadFgQuadrant                (0x09 0x02)
loc_0001633f: renderObjsHigh?               (< 0x11 > )
loc_00016342: draw                          (0x08)
loc_00016345: triggerLoop                   ()
loc_00016347: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001634d: loadFgQuadrant                (0x09 0x01)
loc_00016351: renderObjsHigh?               (< 0x11 > )
loc_00016354: draw                          (0x08)
loc_00016357: setScrollY?                   (0x0140 0x0000 [ ])
loc_0001635d: loadFgQuadrant                (0x09 0x02)
loc_00016361: renderObjsHigh?               (< 0x12 > )
loc_00016364: draw                          (0x08)
loc_00016367: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001636d: loadFgQuadrant                (0x09 0x03)
loc_00016371: renderObjsHigh?               (< 0x11 > )
loc_00016374: draw                          (0x08)
loc_00016377: setScrollY?                   (0x0140 0x0000 [ ])
loc_0001637d: loadFgQuadrant                (0x0a 0x00)
loc_00016381: renderObjsHigh?               (< 0x11 > )
loc_00016384: draw                          (0x08)
loc_00016387: setScrollY?                   (0x0000 0x0000 [ ])
loc_0001638d: loadFgQuadrant                (0x09 0x03)
loc_00016391: renderObjsHigh?               (< 0x12 > )
loc_00016394: draw                          (0x08)
loc_00016397: setScrollY?                   (0x0140 0x0000 [ ])
loc_0001639d: loadFgQuadrant                (0x0a 0x00)
loc_000163a1: renderObjsHigh?               (< 0x11 > )
loc_000163a4: draw                          (0x08)
loc_000163a7: setScrollY?                   (0x0000 0x0000 [ ])
loc_000163ad: loadFgQuadrant                (0x09 0x03)
loc_000163b1: renderObjsHigh?               (< 0x12 > )
loc_000163b4: draw                          (0x08)
loc_000163b7: setScrollY?                   (0x0140 0x0000 [ ])
loc_000163bd: loadFgQuadrant                (0x0a 0x00)
loc_000163c1: renderObjsHigh?               (< 0x12 > )
loc_000163c4: draw                          (0x08)
loc_000163c7: setScrollY?                   (0x0000 0x0000 [ ])
loc_000163cd: loadFgQuadrant                (0x09 0x03)
loc_000163d1: renderObjsHigh?               (< 0x11 > )
loc_000163d4: draw                          (0x08)
loc_000163d7: setScrollY?                   (0x0140 0x0000 [ ])
loc_000163dd: loadFgQuadrant                (0x0a 0x00)
loc_000163e1: renderObjsHigh?               (< 0x11 > )
loc_000163e4: draw                          (0x08)
loc_000163e7: setScrollY?                   (0x0000 0x0000 [ ])
loc_000163ed: loadFgQuadrant                (0x09 0x03)
loc_000163f1: renderObjsHigh?               (< 0x11 > )
loc_000163f4: draw                          (0x08)
loc_000163f7: setScrollY?                   (0x0140 0x0000 [ ])
loc_000163fd: loadFgQuadrant                (0x0a 0x00)
loc_00016401: renderObjsHigh?               (< 0x11 > )
loc_00016404: draw                          (0x08)
loc_00016407: setLoopStart                  (0x0a)
loc_0001640a: setScrollY?                   (0x0000 0x0000 [ ])
loc_00016410: loadFgQuadrant                (0x09 0x03)
loc_00016414: renderObjsHigh?               (< 0x11 > )
loc_00016417: draw                          (0x08)
loc_0001641a: setScrollY?                   (0x0140 0x0000 [ ])
loc_00016420: loadFgQuadrant                (0x0a 0x00)
loc_00016424: renderObjsHigh?               (< 0x11 > )
loc_00016427: draw                          (0x08)
loc_0001642a: triggerLoop                   ()
loc_0001642c: op02                          (0x0001 0x0001 =CHOICE0_X =CHOICE0_Y =CHOICE0_W =CHOICE0_H)
loc_0001643a: draw                          (0x0a)
